size	SDa[PiBas]	SDd[PiBas]	SDa[1C]	L-SD_d[1C]	SDa[NlogN] 	L-SD_d[NlogN]	SDa[2C]
10	 104 	 164 	 46 	 105 	 108 	 137 	 72 
100	 474 	 506 	 80 	 194 	 132 	 284 	 123 
1000	 1722 	 1728 	 163 	 259 	 187 	 413 	 138 
10000	 3883 	 4293 	 831 	 807 	 210 	 381 	 756 
100000	 5192 	 6090 	 865 	 887 	 241 	 501 	 1343 
