size	SDa[PiBas]	SDd[PiBas]	SDa[1C]	L-SD_d[1C]	SDa[NlogN] 	L-SD_d[NlogN]	SDa[2C]
10	 6 	 13 	 6 	 13 	 8 	 13 	 6 
100	 34 	 43 	 10 	 31 	 12 	 24 	 10 
1000	 365 	 370 	 61 	 97 	 21 	 42 	 34 
10000	 1806 	 1977 	 557 	 513 	 32 	 61 	 368 
100000	 3016 	 3320 	 748 	 719 	 56 	 125 	 885
