size	 SDd[PiBas]  L-SD_d[1C] 	 L-SD_d[NlogN] 	L-SD_d[12N]	 L-SD_d[6N] 	 L-SD_d[3N] 	L-SD_d[2N]	x	x2	x	x2
10	 426 	 	443 	 395 	663	 523 	 504 	802	?	?		
100	 602 	 	404 	 597 	1372	 1076 	 1123 	2380	?	?		
1000	 3456 	 	1083 	 1187 	2395	 2049 	 8717 	12702	?	?		
10000	 33254 	 	2285 	 1458 	3022	 2612 	 11651 	123174	?			
100000	 326204 	13809 	 1761 	3752	 3269 	 12825 	?	?			
1000000	 2744220 	14267 	 3053 	4740	 4644 	 27333 	?	2744220			
2000000	 ? 	 	14385 	 4150 	5171	 5343 	 16371 	?	5400000			
5000000	 ? 	 	16011 	 8676 	9326	 10388 	 23715 	?	14000000
