size	SDa[PiBas]	SDd[PiBas]	SDa[1C]	L-SD_d[1C]	SDa[NlogN] 	L-SD_d[NlogN]	SDa[2C]	x	x2
10	499.7000034	577.7000081	492.7000034	361.7000081	349.700004	641.7000087	427.7000034	?	?
100	1310.700013	1719.700017	603.7000126	1025.700017	517.7000155	1349.70002	517.7000126	?	?
1000	10838.7001	10647.70011	864.7001048	1429.700109	754.7001072	2371.700112	793.7001048	?	?
10000	104456.701	109316.701	2109.701026	2914.701031	880.7016801	2800.701685	1948.701026	?	?
100000	903318.7102	1017774.71	16344.71024	16567.71025	862.7134241	3216.713429	11355.71024	?	?
1000000	9320564.802	8839344.802	17104.8024	17458.80241	1602.807377	3921.807381	17341.8024	?	?
2000000	18004124.9	17143024.9	17928.9048	17378.90481	2280.914751	4924.914755	16423.9048	18004100	17143000
5000000	?	?	20686.212	19950.21201	5500.558996	9229.559001	20345.212	45010250	42857500

