ith	SDa[PiBas]	Sda[1C]	SDa[NlogN]
226	47.715	58.046	211.382
227	15.593	25.303	78.103
228	63.566	60.625	308.47
229	9.13	24.803	77.8
230	35.009	35.014	182.644
231	4.5	30.23	74.062
232	88.905	126.803	436.194
233	10.397	19.383	99.791
234	24.394	48.745	129.242
235	9.186	32.006	73.412
236	49.575	63.851	242.937
237	12.903	37.219	69.658
238	27.482	27.828	190.459
239	19.761	30.609	99.041
240	130.215	167.354	616.616
241	5.62	22.417	88.595
242	13.705	34.37	169.692
243	5.041	39.211	75.881
244	53.652	59.388	258.374
245	9.108	26.925	89.257
246	32.539	29.217	148.827
247	12.202	26.147	59.908
248	85.155	161.548	395.182
249	4.98	32.209	78.326
250	14.145	31.989	156.401
251	9.285	29.489	114.388
252	61.741	47.17	292.763
253	11.949	31.926	93.025
254	45.849	37.969	160.701
255	13.957	20.366	65.747
256	5897.9	5652.18	4286.53
257	23.494	73.067	110.528
258	50.395	71.16	222.374
259	11.678	131.027	76.842
260	70.429	65.874	268.957
261	16.654	46.659	75.592
262	25.508	59.033	206.963
263	14.303	30.78	100.309
264	94.357	113.975	383.382
265	15.771	24.604	75.391
266	25.938	38.171	136.602
267	6.802	33.875	66.496
268	43.317	67.596	249.82
269	9.727	22.593	76.109
270	25.191	34.489	128.932
271	13.011	25.45	69.113
272	140.32	242.873	670.953
273	10.05	28.347	71.049
274	36.189	38.091	142.615
275	15.36	29.729	76.25
276	60.461	67.064	294.58
277	12.623	19.256	94.913
278	19.872	65.059	148.817
279	12.874	20.269	94.29
280	82.628	87.586	398.996
281	17.344	31.427	70.087
282	29.901	25.178	156.742
283	15.175	23.419	67.43
284	65.85	74.201	268.002
285	10.004	27.088	68.454
286	49.563	40.125	165.284
287	11.512	32.109	67.1
288	605.661	475.754	1057.47
289	10.416	23.76	121.37
290	32.634	41.43	201.429
291	16.6	26.337	80.607
292	35.958	75.184	240.284
293	16.628	20.309	69.473
294	22.049	23.838	139.603
295	10.087	25.49	81.024
296	81.538	104.759	338.085
297	10.083	21.029	66.81
298	14.573	35.109	137.033
299	8.632	40.175	75.387
300	47.737	77.101	237.294
301	15.767	25.839	76.675
302	21.718	22.388	135.031
303	4.098	27.147	61.337
304	154.314	181.216	699.43
305	6.621	44.429	89.904
306	23.742	23.871	166.506
307	14.582	23.176	90.624
308	37.602	80.929	309.969
309	12.451	31.837	82.158
310	43.082	32.811	158.807
311	15.022	29.641	69.103
312	98.977	111.747	404.463
313	9.074	20.523	76.703
314	40.399	38.418	154.573
315	16.656	31.202	70.194
316	57.531	42.654	269.122
317	3.976	30.149	74.426
318	31.218	38.28	155.439
319	11.405	27.958	63.465
320	1237.48	1145.52	1783.87
321	20.438	28.233	113.507
322	51.723	24.71	212.795
323	15.01	21.648	81.508
324	61.528	88.414	242.525
325	17.894	37.106	83.889
326	30.942	24.005	138.321
327	21.579	31.851	73.592
328	87.709	119.476	411.889
329	13.186	24.505	75.069
330	20.418	47.516	163.295
331	13.482	26.903	72.489
332	41.864	57.214	253.051
333	12.11	30.674	66.328
334	29.484	53.289	161.841
335	9.078	25.194	73.408
336	138.42	194.878	582.25
337	9.864	19.921	67.963
338	18.878	42.973	153.481
339	10.964	28.369	75.721
340	39.852	51.35	240.529
341	32.095	52.621	82.258
342	22.248	41.065	143.862
343	19.358	27.942	69.836
344	98.425	95.313	374.141
345	13.002	35.143	82.539
346	40.737	41.631	147.758
347	8.207	11.199	76.661
348	36.014	68.925	205.815
349	2.945	22.925	66.91
350	31.073	45.905	204.003
351	15.626	34.192	60.43
352	491.328	402.275	1081.74
353	19.83	31.953	126.214
354	40.823	48.909	205.327
355	8.447	28.752	70.373
356	73.569	66.692	231.975
357	21.592	32.06	82.901
358	33.468	43.7	166.979
359	5.602	35.892	66.879
360	113.377	115.988	401.821
361	21.418	56.486	85.644
362	22.313	24.335	158.33
363	10.227	28.155	68.916
364	81.333	71.14	249.33
365	7.46	24.026	81.89
366	34.856	41.891	142.192
367	11.819	31.104	79.872
368	146.35	141.693	642.663
369	4.645	28.458	70.968
370	28.917	30.743	149.252
371	21.111	30.668	85.554
372	56.933	59.278	224.237
373	9.159	30.401	90.076
374	31.473	51.3	157.17
375	18.76	30.59	81.771
376	138.69	110.411	373.943
377	8.783	24.748	94.045
378	13.819	38.125	159.99
379	6.612	27.899	84.897
380	42.994	75.212	257.855
381	17.197	22.509	69.445
382	25.874	34.091	154.045
383	6.324	25.81	90.154
384	2920.1	2581.25	2654.3
385	52.795	25.072	130.226
386	60.798	22.457	210.036
387	2.648	17.649	77.952
388	70.162	78.818	241.13
389	8.801	24.199	71.395
390	26.955	41.322	145.676
391	14.511	29.674	74.885
392	102.491	96.697	391.073
393	11.311	22.028	63.72
394	15.308	44.181	135.23
395	8.223	35.922	59.578
396	67.838	54.4	265.006
397	12.361	24.281	71.751
398	20.002	34.621	142.175
399	6.177	21.439	84.023
400	167.051	212.848	730.675
401	19.997	27.982	115.422
402	39.446	31.967	165.955
403	8.55	34.209	69.194
404	61.143	47.224	277.297
405	14.199	21.833	90.271
406	32.77	24.027	157.66
407	18.61	27.947	78.571
408	170.299	135.112	413.155
409	20.149	25.425	61.506
410	49.695	37.904	141.723
411	18.786	29.84	91.934
412	75.12	67.812	280.536
413	5.445	26.638	70.101
414	21.335	50.766	159.026
415	12.123	28.089	81.966
416	468.418	528.391	1145.06
417	12.138	48.436	130.644
418	51.877	28.583	197.947
419	13.032	24.619	78.699
420	41.639	67.156	315.757
421	9.148	18.874	82.355
422	30.69	32.811	154.36
423	7.548	29.769	88.843
424	96.519	70.918	354.763
425	7.274	23.665	65.705
426	13.707	23.223	129.68
427	7.843	31.895	68.376
428	61.584	55.081	255.66
429	9.438	40.291	60.681
430	22.794	31.868	144.885
431	8.488	28.229	79.447
432	148.142	217.008	593.251
433	5.735	47.598	73.828
434	27.651	32.701	144.516
435	8.03	30.865	67.614
436	56.814	71.664	256.645
437	16.174	21.099	74.011
438	24.385	27.881	205.873
439	5.486	24.724	70.873
440	71.181	97.248	378.951
441	6.08	26.803	74.592
442	18.299	57.039	131.137
443	11.957	32.722	65.358
444	44.652	70.577	245.285
445	20.866	17.541	71.292
446	22.855	31.794	158.886
447	13.009	27.411	69.384
448	1196.69	1184.26	1984.25
449	22.346	24.476	114.954
450	46.462	24.354	250.806
451	12.808	22.292	113.395
452	75.788	60.575	293.872
453	5.217	22.6	98.899
454	34.835	36.896	157.973
455	35.211	23.096	67.394
456	103.52	72.719	371.724
457	7.739	25.166	70.697
458	23.75	22.691	141.23
459	9.332	36.154	69.082
460	58.469	49.723	266.882
461	15.173	29.058	78.288
462	20.874	30.159	212.199
463	13.546	23.814	82.058
464	144.091	188.624	623.723
465	11.485	45.073	82.925
466	30.915	30.73	161.099
467	14.487	40.031	78.71
468	61.653	56.327	269.659
469	11.054	24.249	73.522
470	36.836	38.279	141.657
471	3.625	25.023	97.627
472	68.684	106.922	391.395
473	9.475	33.16	77.277
474	41.916	22.429	136.421
475	8.119	27.082	76.417
476	47.791	51.122	232.081
477	9.12	26.681	62.748
478	22.115	30.008	148.268
479	11.78	30.583	74.14
480	370.242	371.976	945.816
481	29.621	23.898	126.347
482	43.215	33.767	207.094
483	4.111	41.962	80.467
484	81.587	50.621	292.527
485	7.83	34.416	82.789
486	14.647	37.317	161.559
487	11.663	27.535	71.572
488	100.754	108.159	395.037
489	12.017	22.532	65.22
490	30.641	44.678	130.459
491	8.837	23.042	70.954
492	40.486	70.276	282.99
493	11.319	36.689	59.647
494	19.974	59.706	224.741
495	5.737	21.212	82.596
496	182.175	145.011	629.548
497	12.717	24.771	78.217
498	29.082	60.937	151.006
499	7.513	19.448	79.024
500	57.777	58.934	256.408
501	19.907	33.551	87.274
502	30.632	31.921	146.832
503	14.567	25.748	74.312
504	109.715	80.675	387.135
505	17.746	28.161	72.975
506	27.685	31.523	162.671
507	9.98	24.049	69.619
508	73.871	67.977	272.841
509	13.166	24.975	63.994
510	20.471	40.522	143.761
511	13.844	25.199	67.045
512	12905.6	11904.2	6421.9
513	48.644	78.704	142.595
514	42.694	76.124	226.168
515	25.365	23.558	76.233
516	85.06	59.77	282.246
517	13.114	28.332	83.405
518	33.346	70.63	160.091
519	14.61	22.437	71.286
520	110.77	102.068	384.982
521	13.582	37.563	61.874
522	23.18	39.671	138.795
523	14.952	27.49	69.427
524	62.048	69.305	259.993
525	9.932	30.7	68.784
526	52.052	42.919	145.137
527	13.287	27.434	70.762
528	124.446	165.33	695.132
529	10.054	37.73	69.986
530	22.807	46.746	208.653
531	10.484	25.484	76.148
532	37.732	70.287	238.23
533	11.541	31.384	67.912
534	22.648	41.657	163.11
535	10.884	18.294	75.468
536	75.972	117.943	387.252
537	13.399	31.687	62.692
538	31.058	27.259	135.988
539	13.303	30.353	65.219
540	58.769	100.773	277.988
541	12.321	28.216	70.788
542	29.705	58.456	131.201
543	17.92	34.641	72.581
544	470.537	429.31	1026.98
545	7.416	26.552	119.581
546	23.55	49.406	214.547
547	6.071	24.156	78.113
548	62.254	45.746	280.449
549	19.036	21.116	80.799
550	23.18	43.425	155.896
551	17.606	25.662	92.161
552	99.169	96.352	397.6
553	6.543	26.568	66.419
554	21.696	34.621	170.491
555	5.966	22.783	88.169
556	63.041	49.037	249.806
557	11.614	29.495	69.322
558	34.895	78.74	142.677
559	12.488	28.83	58.775
560	145.889	127.078	667.766
561	9.763	37.542	75.842
562	37.303	57.069	214.004
563	6.249	34.904	78.154
564	55.106	77.752	267.145
565	32.148	24.738	113.429
566	15.169	33.974	139.995
567	22.481	34.714	78.611
568	92.119	96.201	340.764
569	10.785	23.827	60.918
570	21.465	39.154	148.728
571	10.89	36.239	65.158
572	47.638	61.553	256.515
573	31.224	19.966	64.195
574	16.948	53.15	148.168
575	7.862	30.431	105.857
576	1254.78	1233.54	1751.54
577	13.236	58.866	102.282
578	21.051	63.997	190.652
579	10.537	27.029	118.084
580	37.088	51.262	224.729
581	3.103	32.134	73.768
582	29.791	34.52	139.964
583	9.453	18.941	68.048
584	83.769	113.347	415.052
585	10.185	20.314	64.922
586	22.599	31.023	127.715
587	7.795	25.788	58.567
588	40.654	49.719	286.713
589	12.562	17.977	66.739
590	25.078	32.333	136.471
591	8.742	22.683	76.204
592	173.597	163.611	588.305
593	12.081	31.701	74.088
594	15.506	33.553	159.971
595	15.121	26.519	78.769
596	56.54	69.621	214.922
597	9.579	49.052	76.591
598	29.249	52.816	157.106
599	30.138	29.537	73.505
600	87.893	116.096	445.121
601	15.265	22.018	63.45
602	13.982	32.545	136.18
603	8.073	51.559	67.658
604	44.691	65.68	235.976
605	8.382	33.921	65.249
606	32.251	38.967	144.619
607	3.355	29.894	68.733
608	434.416	470.218	964.647
609	16.551	35.404	125.827
610	25.114	28.451	216.954
611	2.967	24.417	116.184
612	57.411	85.898	260.923
613	6.217	24.757	78.512
614	28.24	34.529	155.877
615	10.796	24.527	82.986
616	94.601	160.83	416.776
617	9.898	32.687	65.712
618	26.046	37.902	145.449
619	11.559	29.341	69.014
620	54.722	79.084	289.975
621	6.237	36.495	73.935
622	23.534	33.587	147.565
623	7.915	22.431	64.325
624	129.711	177.351	635.278
625	4.962	27.923	99.339
626	23.071	31.744	138.564
627	8.984	27.437	94.62
628	51.347	73.119	285.22
629	6.712	32.535	114.466
630	27.8	35.917	166.348
631	24.276	25.724	77.242
632	84.838	110.582	371.953
633	15.268	21.74	79.247
634	36.468	33.306	134.215
635	13.219	25.251	84.506
636	69.468	73.733	243.401
637	11.34	30.827	66.036
638	34.235	44.915	140.845
639	13.36	18.83	66.961
640	2670.13	2609.02	3204.13
641	34.084	66.954	120.322
642	40.602	54.162	206.29
643	12.202	30.094	91.809
644	71.307	77.664	255.611
645	4.504	28.356	91.38
646	29.217	26.911	150.346
647	24.018	34.601	79.065
648	93.665	95.755	367.027
649	11.665	30.945	61.054
650	14.745	41.358	184.734
651	11.102	25.277	78.995
652	49.941	67.438	213.056
653	28.852	23.993	65.959
654	34.492	23.883	145.107
655	4.195	18.339	64.38
656	173.66	184.893	668.257
657	9.546	23.054	77.673
658	27.511	45.475	138.601
659	5.808	26.912	83.024
660	49.101	64.504	256.721
661	5.449	33.984	74.434
662	26.792	50.001	201.609
663	23.329	19.997	88.553
664	95.507	105.91	371.433
665	19.356	35.678	62.424
666	22.425	37.327	139.122
667	14.902	21.563	72.394
668	63.88	62.668	239.97
669	20.795	26.874	69.26
670	18.459	70.447	153.79
671	12.217	34.22	64.361
672	448.013	524.17	983.853
673	12.895	31.248	112.516
674	27.013	37.559	199.949
675	4.518	26.892	73.094
676	40.518	66.733	258.721
677	11.605	26.095	68.186
678	26.526	39.433	160.295
679	20.637	26.435	79.021
680	83.678	85.842	413.655
681	10.343	37.879	72.64
682	22.876	26.261	133.996
683	8.374	21.958	61.573
684	63.315	63.839	234.679
685	11.127	28.669	83.399
686	36.64	21.29	138.02
687	17.415	19.146	70.534
688	159.318	146.896	665.657
689	11.162	21.921	111.116
690	23.176	46.663	184.057
691	25.867	23.853	68.181
692	48.937	65.608	266.1
693	17.058	31.592	75.963
694	22.756	38.673	160.749
695	11.836	40.637	83.3
696	69.928	113.226	389.187
697	5.612	43.522	79.349
698	26.137	28.616	156.147
699	9.169	35.112	74.949
700	49.179	85.147	256.715
701	18.277	29.333	87.985
702	23.535	29.564	153.531
703	3.048	22.15	73.731
704	1187.69	1018.38	1687.99
705	11.351	23.109	79.983
706	19.283	33.36	147.88
707	11.091	24.952	91.626
708	51.347	60.075	236.255
709	11.278	21.743	76.007
710	34.367	23.107	150.303
711	5.642	25.656	70.018
712	91.057	95.686	415.748
713	15.15	20.849	80.942
714	33.516	67.988	152.803
715	11.76	26.423	70.456
716	59.269	64.251	264.885
717	15.382	30.621	90.272
718	28.042	52.901	145.455
719	13.01	24.328	79.712
720	148.376	176.815	609.769
721	10.004	34.445	95.457
722	41.204	41.602	140.34
723	12.322	37.672	70.231
724	35.641	65.089	304.501
725	9.517	27.221	75.66
726	43.527	37.972	139.226
727	10.958	26.339	82.984
728	108.755	96.639	428.451
729	17.53	26.042	65.006
730	28.574	23.575	136.414
731	11.902	28.041	65.141
732	69.256	50.285	206.639
733	13.884	26.677	67.527
734	52.43	26.068	193.437
