ith	SDa[PiBas]	Sda[1C]	SDa[NlogN]
990	20.961	36.116	182.69
991	3.712	28.363	69.447
992	490.672	461.614	1051.65
993	2.282	41.675	107.695
994	29.353	57.293	229.895
995	10.492	25.931	76.761
996	43.562	60.831	316.691
997	16.178	34.508	94.547
998	37.74	35.972	160.41
999	6.842	22.087	68.038
1000	86.763	139.351	349.222
