size	SDd[PiBas]	L-SD_d[1C]	L-SD_d[NlogN]	L-SD_d[12N]	L-SD_d[6N]	L-SD_d[3N]	L-SD_d[2N]	x	x2	x	x2
10	 371 	 	448 	 414 		663		 554 	 494 	802	?	?		
100	 797 	 	508 	 578 		1372		 1150 	 1208 	2380	?	?		
1000	 5098 	 	1178 	 1141 		2395		 2263 	 9862 	12702	?	?		
10000	 47486 	 	2725 	 1454 		3022		 3008 	 12988 	123174	?	123174		
100000	 481124 	14920 	 1949 		3752		 3544 	 14353 	?	?			
1000000	 4139350 	15286 	 3146 		4740		 5268 	 29280 	?	4139350			
2000000	 ? 	 	15542 	 4170 		5171		 5588 	 17882 	?	8200000			
5000000	 ? 	 	16999 	 8796 		9326		 10924 	 25993 	?	20000000		
