size	SDd[PiBas]	L-SD_d[1C]	L-SD_d[NlogN]	L-SD_d[12N]	L-SD_d[6N]	L-SD_d[3N]	L-SD_d[2N]	x	x2	x	x2
10	 5 	 8 	 7 	663	 7 	 8 	802	?	?		
100	 9 	 14 	 9 	1372	 15 	 18 	2380	?	?		
1000	 52 	 67 	 17 	2395	 32 	 130 	12702	?	?		
10000	 835 	 541 	 26 	3022	 41 	 158 	123174	?	123174		
100000	 7595 	 5560 	 68 	3752	 85 	 225 	?	?			
1000000	 80491 	 5950 	 430 	4740	 445 	 902 	?	80491			
2000000	 ? 	 6283 	 904 	5171	 937 	 1039 	?	160000			
5000000	 ? 	 7708 	 2831 	9326	 2488 	 2441 	?	400000			

