size	SDd[PiBas]	L-SD_d[1C]	L-SD_d[NlogN]	L-SD_d[12N]	L-SD_d[6N]	L-SD_d[3N]	L-SD_d[2N]	x	x2	x	x2
10	553		337	617	663	669	684	802	?	?		
100	1695		1001	1325	1372	1971	1987	2380	?	?		
1000	10623		1405	2347	2395	3368	12062	12702	?	?		
10000	109292		2890	2776	3022	4418	15758	123174	?	123174		
100000	1017750		16543	3192	3752	5159	16153	?	?	1000000		
1000000	8839320		17434	3897	4740	6838	30888	?	?	10000000		
2000000	17143000	17354	4900	5171	6498	20573	?	17143000	20000000		
5000000	 ? 		19925	9204	9326	11880	29626	?	40000000	50000000		
