size	SDa[PiBas]	SDa[1C]	SDa[NlogN]	SDa[12N]	SDa[6N]	SDa[3N]	SDa[2N]	x	x2
10	475	468	325	427	508	526	615	?	?
100	1286	579	493	574	868	1551	1793	?	?
1000	10814	840	730	1112	1779	4370	13477	?	?
10000	104432	2085	856	1233	2121	6111	124710	?	124710
100000	903294	16320	838	1383	2474	7817	?	?	1000000
1000000	9320540	17080	1578	2201	2908	10361	?	?	10000000
2000000	18004100	17904	2256	2559	4143	9236	?	18004100	20000000
5000000	?	20661	5475	5577	6543	15981	?	40000000	50000000
