size	SDa[PiBas]	SDd[PiBas]	SDa[1C]	L-SD_d[1C]	SDa[NlogN] 	L-SD_d[NlogN]	SDa[2C]
136	1076	1533	156	325	143	377	136
6257	47328	48314	1255	1542	288	661	814
13546	105888	101196	2609	2779	293	972	1819
44471	349705	340060	7639	7327	459	1203	4279
66666	541420	511133	11626	9435	449	1258	8912
704368	5852640	5581800	12041	13449	907	3710	11549
