ith	SDa[PiBas]	Sda[1C]	SDa[NlogN]
71	13.072	33.435	77.123
72	96.172	142.482	339.267
73	9.226	27.944	68.89
74	13.029	35.995	146.912
75	11.799	21.653	79.392
76	53.218	70.099	268.084
77	11.885	24.007	74.075
78	20.845	33.33	145.107
79	12.796	39.08	71.298
80	152.609	172.219	578.727
81	10.84	26.479	79.394
82	42.521	36.757	149.933
83	15.255	32.298	75.361
84	59.538	48.331	275.689
85	11.36	21.269	80.421
86	19.821	53.871	149.943
87	11.036	23.725	73.393
88	91.154	106.843	397.929
89	11.177	34.553	67.869
90	37.58	29.899	171.902
91	9.876	23.746	73.773
92	52.218	64.059	284.096
93	11.987	20.375	74.773
94	16.68	42.964	216.6
95	5.342	21.382	78.734
96	486.711	492.565	956.793
97	20.946	57.971	121.802
98	39.272	56.26	208.453
99	28.696	21.653	77.727
100	62.172	64.611	247.978
101	10.308	24.364	68.743
102	14.711	37.223	145.404
103	10.559	38.108	75.945
104	89.454	117.447	430.449
105	19.637	23.866	66.981
106	20.931	43.365	183.709
107	9.06	22.485	75.995
108	55.343	72.579	261.759
109	10.643	22.933	73.042
110	28.761	45.103	156.075
111	10.836	26.965	81.291
112	118.951	187.3	603.175
113	6.487	32.63	65.262
114	40.448	41.728	166.389
115	3.499	27.036	64.975
116	50.176	48.778	257.879
117	11.532	19.996	71.439
118	15.158	45.2	137.652
119	5.893	26.026	94.237
120	79.08	109.4	502.319
121	6.085	47.384	73.667
122	24.209	51.249	142.476
123	11.487	28.71	72.737
124	60.081	71.546	245.418
125	16.352	34.538	68.44
126	20.927	33.334	157.92
127	10.288	28.81	73.473
128	2731.74	2665.21	2738.44
129	18.787	90.597	118.085
130	40.643	52.493	214.606
131	15.53	26.991	77.672
132	55.821	65.298	234.929
133	14.012	26.154	151.2
134	18.95	41.711	160.159
135	7.995	27.854	66.509
136	88.344	87.481	422.975
137	15.047	27.123	68.162
138	28.037	27.706	150.341
139	11.262	25.491	68.319
140	47.766	49.866	247.713
141	8.192	29.798	63.72
142	11.15	48.68	196.67
143	4.568	26.985	77.506
144	189.064	252.139	663.009
145	16.304	30.534	90.747
146	20.02	46.305	164.882
147	6.366	26.359	87.314
148	46.015	69.866	330.44
149	15.649	27.322	76.03
150	19.36	26.592	162.39
151	19.475	21.295	66.967
152	85.969	84.184	367.091
153	9.527	30.443	62.444
154	20.577	39.193	171.137
155	23.759	23.026	69.453
156	69.367	66.732	232.64
157	7.168	23.475	68.803
158	17.638	40.887	139.984
159	10.984	24.024	76.075
160	544.202	555.168	1177.72
161	22.339	83.915	127.765
162	60.51	54.957	207.171
163	13.123	29.243	70.449
164	54.03	42.478	227.91
165	12.588	25.919	86.582
166	26.053	44.001	139.964
167	15.577	29.674	64.951
168	69.737	99.971	407.987
169	26.229	24.466	73.378
170	14.828	36.131	168.23
171	11.398	24.874	63.953
172	84.607	92.395	277.686
173	8.253	22.886	101.085
174	21.41	37.03	140.129
175	15.001	28.05	70.124
176	136.086	190.888	657.333
177	12.712	26.055	95.382
178	26.177	29.209	199.651
179	6.158	25.198	79.223
180	42.159	61.548	270.887
181	4.218	32.442	77.545
182	23.024	35.389	149.371
183	14.233	33.226	73.05
184	103.857	102.904	391.712
185	12.333	25.039	73.091
186	26.168	43.316	146.569
187	20.399	36.162	87.156
188	80.698	62.582	243.361
189	17.415	24.103	70.571
190	58.432	29.798	135.526
191	8.834	23.411	85.694
192	1158.41	1168.14	1750.41
193	16.054	60.608	135.826
194	48.025	68.556	226.687
195	15.556	20.52	75.11
196	68.105	95.24	273.361
197	26.137	35.668	86.089
198	27.982	41.232	150.181
199	8.906	29.556	70.637
200	102.487	85.607	425.866
201	7.329	24.804	61.316
202	24.781	36.044	135.863
203	14.551	21.569	66.295
204	41.843	62.531	232.583
205	5.734	26.965	77.319
206	22.083	50.218	183.575
207	20.673	23.409	74.263
208	151.56	195.258	616.178
209	3.318	24.17	83.007
210	27.716	34.671	151.275
211	26.004	25.798	70.483
212	63.061	64.919	250.004
213	9.734	28.29	70.279
214	26.545	33.104	189.631
215	11.343	29.843	66.149
216	71.548	122.81	375.049
217	6.902	24.537	57.051
218	28.66	33.858	156.808
219	13.24	19.556	79.809
220	58.288	90.587	251.456
221	13.789	26.387	69.684
222	26.02	32.237	175.793
223	12.831	22.926	75.301
224	416.632	521.569	1081.1
225	25.842	63.338	116.403
226	47.715	58.046	197.353
227	15.593	25.303	73.779
228	63.566	60.625	263.857
229	9.13	24.803	76.106
230	35.009	35.014	156.247
231	4.5	30.23	75.906
232	88.905	126.803	423.876
233	10.397	19.383	89.337
234	24.394	48.745	138.015
235	9.186	32.006	76.625
236	49.575	63.851	255.609
237	12.903	37.219	73.607
238	27.482	27.828	126.637
239	19.761	30.609	70.857
240	130.215	167.354	608.506
241	5.62	22.417	67.87
242	13.705	34.37	142.086
243	5.041	39.211	75.168
244	53.652	59.388	273.971
245	9.108	26.925	82.593
246	32.539	29.217	156.857
247	12.202	26.147	81.867
248	85.155	161.548	437.507
249	4.98	32.209	72.882
250	14.145	31.989	126.738
251	9.285	29.489	76.487
252	61.741	47.17	243.909
253	11.949	31.926	69.029
254	45.849	37.969	143.514
255	13.957	20.366	77.117
256	5897.9	5652.18	3909.61
257	23.494	73.067	121.586
258	50.395	71.16	219.322
259	11.678	131.027	80.815
260	70.429	65.874	300.363
261	16.654	46.659	71.473
262	25.508	59.033	140.352
263	14.303	30.78	73.659
264	94.357	113.975	396.462
265	15.771	24.604	76.594
266	25.938	38.171	143.817
267	6.802	33.875	78.918
268	43.317	67.596	301.456
269	9.727	22.593	81.684
270	25.191	34.489	156.88
271	13.011	25.45	74.925
272	140.32	242.873	650.619
273	10.05	28.347	86.576
274	36.189	38.091	162.251
275	15.36	29.729	64.455
276	60.461	67.064	234.169
277	12.623	19.256	66.871
278	19.872	65.059	157.336
279	12.874	20.269	72.839
280	82.628	87.586	401.587
281	17.344	31.427	67.355
282	29.901	25.178	158.631
283	15.175	23.419	68.144
284	65.85	74.201	254.742
285	10.004	27.088	74.795
286	49.563	40.125	158.463
287	11.512	32.109	75.565
288	605.661	475.754	1073.23
289	10.416	23.76	117.447
290	32.634	41.43	238.645
291	16.6	26.337	79.161
292	35.958	75.184	225.208
293	16.628	20.309	79.051
294	22.049	23.838	143.835
295	10.087	25.49	64.415
296	81.538	104.759	360.26
297	10.083	21.029	70.405
298	14.573	35.109	138.338
299	8.632	40.175	64.993
300	47.737	77.101	291.237
301	15.767	25.839	101.019
302	21.718	22.388	162.355
303	4.098	27.147	71.476
304	154.314	181.216	653.374
305	6.621	44.429	75.923
306	23.742	23.871	142.174
307	14.582	23.176	84.841
308	37.602	80.929	240.153
309	12.451	31.837	82.793
310	43.082	32.811	132.257
311	15.022	29.641	63.491
312	98.977	111.747	397.405
313	9.074	20.523	64.502
314	40.399	38.418	129.582
315	16.656	31.202	77.187
316	57.531	42.654	246.695
317	3.976	30.149	80.075
318	31.218	38.28	284.276
319	11.405	27.958	80.322
320	1237.48	1145.52	1781.88
321	20.438	28.233	114.001
322	51.723	24.71	229.065
323	15.01	21.648	68.319
324	61.528	88.414	221.603
325	17.894	37.106	67.226
326	30.942	24.005	153.562
327	21.579	31.851	74.349
328	87.709	119.476	399.422
329	13.186	24.505	72.798
330	20.418	47.516	142.71
331	13.482	26.903	72.86
332	41.864	57.214	258.218
333	12.11	30.674	71.202
334	29.484	53.289	166.375
335	9.078	25.194	84.969
336	138.42	194.878	655.93
337	9.864	19.921	57.02
338	18.878	42.973	149.908
339	10.964	28.369	63.461
340	39.852	51.35	228.465
341	32.095	52.621	70.927
342	22.248	41.065	157.626
343	19.358	27.942	63.416
344	98.425	95.313	344.943
345	13.002	35.143	72.145
346	40.737	41.631	135.2
347	8.207	11.199	64.612
348	36.014	68.925	295.314
349	2.945	22.925	80.473
350	31.073	45.905	137.456
351	15.626	34.192	70.088
352	491.328	402.275	1079.26
353	19.83	31.953	115.188
354	40.823	48.909	213.706
355	8.447	28.752	79.772
356	73.569	66.692	233.284
357	21.592	32.06	95.82
358	33.468	43.7	130.042
359	5.602	35.892	64.138
360	113.377	115.988	440.658
361	21.418	56.486	72.18
362	22.313	24.335	146.588
363	10.227	28.155	64.025
364	81.333	71.14	248.435
365	7.46	24.026	68.056
366	34.856	41.891	150.701
367	11.819	31.104	75.151
368	146.35	141.693	650.012
369	4.645	28.458	67.061
370	28.917	30.743	136.387
371	21.111	30.668	70.041
372	56.933	59.278	223.85
373	9.159	30.401	76.356
374	31.473	51.3	157.737
375	18.76	30.59	84.982
376	138.69	110.411	414.368
377	8.783	24.748	73.919
378	13.819	38.125	158.237
379	6.612	27.899	74.065
380	42.994	75.212	235.604
381	17.197	22.509	71.005
382	25.874	34.091	143.888
383	6.324	25.81	73.12
384	2920.1	2581.25	2723.07
385	52.795	25.072	125.174
386	60.798	22.457	197.683
387	2.648	17.649	64.78
388	70.162	78.818	220.516
389	8.801	24.199	69.864
390	26.955	41.322	156.53
391	14.511	29.674	86.515
392	102.491	96.697	360.076
393	11.311	22.028	67.698
394	15.308	44.181	144.489
395	8.223	35.922	68.86
396	67.838	54.4	276.771
397	12.361	24.281	81.027
398	20.002	34.621	165.423
399	6.177	21.439	101.053
400	167.051	212.848	730.111
401	19.997	27.982	80.174
402	39.446	31.967	145.47
403	8.55	34.209	69.558
404	61.143	47.224	228.83
405	14.199	21.833	66.488
406	32.77	24.027	161.252
407	18.61	27.947	62.976
408	170.299	135.112	372.118
409	20.149	25.425	64.666
410	49.695	37.904	138.454
411	18.786	29.84	82
412	75.12	67.812	269.598
413	5.445	26.638	73.736
414	21.335	50.766	151.467
415	12.123	28.089	72.991
416	468.418	528.391	1108.16
417	12.138	48.436	118.265
418	51.877	28.583	211.834
419	13.032	24.619	73.981
420	41.639	67.156	232.279
421	9.148	18.874	77.926
422	30.69	32.811	139.357
423	7.548	29.769	67.919
424	96.519	70.918	433.784
425	7.274	23.665	70.122
426	13.707	23.223	134.713
427	7.843	31.895	70.098
428	61.584	55.081	257.683
429	9.438	40.291	75.434
430	22.794	31.868	163.159
431	8.488	28.229	72.227
432	148.142	217.008	634.411
433	5.735	47.598	72.451
434	27.651	32.701	149
435	8.03	30.865	87.189
436	56.814	71.664	271.766
437	16.174	21.099	92.808
438	24.385	27.881	139.406
439	5.486	24.724	64.674
440	71.181	97.248	372.828
441	6.08	26.803	67
442	18.299	57.039	132.965
443	11.957	32.722	80.322
444	44.652	70.577	235.712
445	20.866	17.541	70.883
446	22.855	31.794	173.72
447	13.009	27.411	115.234
448	1196.69	1184.26	1835.83
449	22.346	24.476	138.045
450	46.462	24.354	210.579
451	12.808	22.292	72.001
452	75.788	60.575	248.861
453	5.217	22.6	71.475
454	34.835	36.896	159.884
455	35.211	23.096	77.036
456	103.52	72.719	369.969
457	7.739	25.166	74.65
458	23.75	22.691	149.543
459	9.332	36.154	77.062
460	58.469	49.723	236.438
461	15.173	29.058	72.823
462	20.874	30.159	124.279
463	13.546	23.814	63.097
464	144.091	188.624	614.904
465	11.485	45.073	96.623
466	30.915	30.73	170.839
467	14.487	40.031	83.471
468	61.653	56.327	242.043
469	11.054	24.249	77.939
470	36.836	38.279	135.789
471	3.625	25.023	76.407
472	68.684	106.922	401.46
473	9.475	33.16	104.357
474	41.916	22.429	185.912
475	8.119	27.082	72.962
476	47.791	51.122	246.889
477	9.12	26.681	81.878
478	22.115	30.008	156.293
479	11.78	30.583	110.626
480	370.242	371.976	1023.8
481	29.621	23.898	119.581
482	43.215	33.767	206.504
483	4.111	41.962	79.557
484	81.587	50.621	258.697
485	7.83	34.416	73.891
486	14.647	37.317	154.771
487	11.663	27.535	70.765
488	100.754	108.159	426.937
489	12.017	22.532	64.507
490	30.641	44.678	138.475
491	8.837	23.042	69.747
492	40.486	70.276	248.306
493	11.319	36.689	73.412
494	19.974	59.706	177.902
495	5.737	21.212	89.875
496	182.175	145.011	650.241
497	12.717	24.771	74.708
498	29.082	60.937	165.62
499	7.513	19.448	64.884
500	57.777	58.934	264.96
501	19.907	33.551	77.152
502	30.632	31.921	129.668
503	14.567	25.748	60.906
504	109.715	80.675	389.158
505	17.746	28.161	85.397
506	27.685	31.523	137.532
507	9.98	24.049	72.299
508	73.871	67.977	225.432
509	13.166	24.975	122.985
510	20.471	40.522	179.251
511	13.844	25.199	62.596
512	12905.6	11904.2	6565.32
513	48.644	78.704	110.374
514	42.694	76.124	192.093
515	25.365	23.558	75.784
516	85.06	59.77	260.244
517	13.114	28.332	65.584
518	33.346	70.63	203.27
519	14.61	22.437	67.862
520	110.77	102.068	374.249
521	13.582	37.563	71.971
522	23.18	39.671	152.378
523	14.952	27.49	74.03
524	62.048	69.305	253.309
525	9.932	30.7	68.887
526	52.052	42.919	140.053
527	13.287	27.434	73.483
528	124.446	165.33	599.731
529	10.054	37.73	73.501
530	22.807	46.746	176.355
531	10.484	25.484	68.322
532	37.732	70.287	237.631
533	11.541	31.384	77.283
534	22.648	41.657	141.377
535	10.884	18.294	82.642
536	75.972	117.943	408.102
537	13.399	31.687	75.648
538	31.058	27.259	153.557
539	13.303	30.353	80.341
540	58.769	100.773	241.98
541	12.321	28.216	94.66
542	29.705	58.456	151.449
543	17.92	34.641	77.349
544	470.537	429.31	1007.49
545	7.416	26.552	120.858
546	23.55	49.406	210.136
547	6.071	24.156	71.298
548	62.254	45.746	208.648
549	19.036	21.116	77.348
550	23.18	43.425	130.833
551	17.606	25.662	70.235
552	99.169	96.352	352.932
553	6.543	26.568	74.073
554	21.696	34.621	131.357
555	5.966	22.783	92.006
556	63.041	49.037	279.306
557	11.614	29.495	84.551
558	34.895	78.74	141.464
559	12.488	28.83	66.035
560	145.889	127.078	730.928
561	9.763	37.542	113.928
562	37.303	57.069	235.912
563	6.249	34.904	66.129
564	55.106	77.752	256.951
565	32.148	24.738	73.823
566	15.169	33.974	152.023
567	22.481	34.714	76.138
568	92.119	96.201	370.609
569	10.785	23.827	72.006
570	21.465	39.154	143.837
571	10.89	36.239	72.668
572	47.638	61.553	227.187
573	31.224	19.966	74.503
574	16.948	53.15	150.482
575	7.862	30.431	65.147
576	1254.78	1233.54	1705.2
577	13.236	58.866	115.725
578	21.051	63.997	203.027
579	10.537	27.029	71.284
580	37.088	51.262	265.464
581	3.103	32.134	80.788
582	29.791	34.52	139.472
583	9.453	18.941	73.634
584	83.769	113.347	377.872
585	10.185	20.314	82.118
586	22.599	31.023	134.803
587	7.795	25.788	75.748
588	40.654	49.719	255.383
589	12.562	17.977	66.743
590	25.078	32.333	147.524
591	8.742	22.683	65.725
592	173.597	163.611	554.297
593	12.081	31.701	62.996
594	15.506	33.553	157.444
595	15.121	26.519	67.901
596	56.54	69.621	261.744
597	9.579	49.052	84.601
598	29.249	52.816	151.629
599	30.138	29.537	80.685
600	87.893	116.096	378.773
601	15.265	22.018	86.806
602	13.982	32.545	137.862
603	8.073	51.559	74.751
604	44.691	65.68	243.468
605	8.382	33.921	70.162
606	32.251	38.967	163.718
607	3.355	29.894	67.941
608	434.416	470.218	964.88
609	16.551	35.404	74.965
610	25.114	28.451	151.295
611	2.967	24.417	74.614
612	57.411	85.898	241.93
613	6.217	24.757	66.5
614	28.24	34.529	143.898
615	10.796	24.527	68.074
616	94.601	160.83	362.129
617	9.898	32.687	82.071
618	26.046	37.902	154.176
619	11.559	29.341	72.632
620	54.722	79.084	265.285
621	6.237	36.495	88.598
622	23.534	33.587	164.432
623	7.915	22.431	64.85
624	129.711	177.351	639.386
625	4.962	27.923	86.137
626	23.071	31.744	133.835
627	8.984	27.437	63.928
628	51.347	73.119	242.578
629	6.712	32.535	81.832
630	27.8	35.917	196.536
631	24.276	25.724	77.119
632	84.838	110.582	374.47
633	15.268	21.74	74.825
634	36.468	33.306	165.579
635	13.219	25.251	74.841
636	69.468	73.733	234.742
637	11.34	30.827	86.088
638	34.235	44.915	180.034
639	13.36	18.83	75.621
640	2670.13	2609.02	2704.73
641	34.084	66.954	114.629
642	40.602	54.162	200.029
643	12.202	30.094	75.026
644	71.307	77.664	227.684
645	4.504	28.356	72.42
646	29.217	26.911	142.181
647	24.018	34.601	70.857
648	93.665	95.755	414.339
649	11.665	30.945	88.441
650	14.745	41.358	175.876
651	11.102	25.277	75.396
652	49.941	67.438	242.551
653	28.852	23.993	62.321
654	34.492	23.883	133.821
655	4.195	18.339	61.438
656	173.66	184.893	659.086
657	9.546	23.054	114.996
658	27.511	45.475	183.139
659	5.808	26.912	76.819
660	49.101	64.504	244.175
661	5.449	33.984	79.93
662	26.792	50.001	167.7
663	23.329	19.997	67.065
664	95.507	105.91	364.046
665	19.356	35.678	73.157
666	22.425	37.327	146.752
667	14.902	21.563	73.422
668	63.88	62.668	231.149
669	20.795	26.874	79.62
670	18.459	70.447	148.91
671	12.217	34.22	60.298
672	448.013	524.17	995.337
673	12.895	31.248	114.671
674	27.013	37.559	217.551
675	4.518	26.892	67.989
676	40.518	66.733	223.166
677	11.605	26.095	63.079
678	26.526	39.433	132.417
679	20.637	26.435	68.155
680	83.678	85.842	397.278
681	10.343	37.879	98.063
682	22.876	26.261	162.026
683	8.374	21.958	76.163
684	63.315	63.839	238.368
685	11.127	28.669	63.286
686	36.64	21.29	141.898
687	17.415	19.146	64.287
688	159.318	146.896	610.332
689	11.162	21.921	93.459
690	23.176	46.663	196.532
691	25.867	23.853	77.909
692	48.937	65.608	263.406
693	17.058	31.592	85.978
694	22.756	38.673	161.086
695	11.836	40.637	99.651
696	69.928	113.226	423.634
697	5.612	43.522	71.754
698	26.137	28.616	165.202
699	9.169	35.112	78.238
700	49.179	85.147	277.052
701	18.277	29.333	58.974
702	23.535	29.564	167.436
703	3.048	22.15	66.923
704	1187.69	1018.38	1737.51
705	11.351	23.109	133.059
706	19.283	33.36	238.741
707	11.091	24.952	69.211
708	51.347	60.075	257.61
709	11.278	21.743	70.681
710	34.367	23.107	146.361
711	5.642	25.656	77.638
712	91.057	95.686	350.898
713	15.15	20.849	77.681
714	33.516	67.988	155.522
715	11.76	26.423	76.62
716	59.269	64.251	219.422
717	15.382	30.621	83.123
718	28.042	52.901	143.153
719	13.01	24.328	68.645
720	148.376	176.815	655.358
721	10.004	34.445	74.044
722	41.204	41.602	151.877
723	12.322	37.672	74.874
724	35.641	65.089	256.688
725	9.517	27.221	81.68
726	43.527	37.972	155.968
727	10.958	26.339	68.357
728	108.755	96.639	382.975
729	17.53	26.042	63.83
730	28.574	23.575	177.429
731	11.902	28.041	71.433
732	69.256	50.285	243.284
733	13.884	26.677	63.857
734	52.43	26.068	139.373
735	11.524	31.486	91.687
736	403.594	333.678	878.477
737	26.296	55.074	122.572
738	20.321	52.277	215.177
739	9.431	23.273	87.291
740	58.846	113.816	258.997
741	16.697	26.899	90.255
742	15.877	39.458	149.922
743	14.117	28.626	80.361
744	105.764	137.378	368.25
745	20.13	29.831	73.902
746	40.48	26.166	208.99
747	17.618	29.798	69.175
748	40.404	58.52	239.367
749	10.598	29.688	61.246
750	22.268	26.951	160.831
751	9.057	23.998	73.882
752	115.66	126.987	659.987
753	20.057	29.648	123.711
754	24.053	30.686	218.714
755	16.305	29.469	81.01
756	58.869	57.019	258.732
757	24.324	29.985	89.47
758	39.363	32.416	159.389
759	14.386	20.554	64.52
760	125.078	97.47	412.069
761	12.728	40.366	78.204
762	20.278	39.141	150.311
763	4.81	30.941	62.739
764	54.693	47.776	231.605
765	10.515	24.235	83.701
766	31.696	45.332	141.585
767	17.907	24.026	58.679
768	5823.79	5777.32	4355.17
769	21.769	56.591	120.354
770	39.752	49.438	197.923
771	6.912	33.139	66.306
772	67.517	61.146	239.306
773	16.692	28.059	68.301
774	27.317	65.178	129.524
775	18.502	25.607	59.396
776	101.446	107.602	410.314
777	24.299	24.442	78.607
778	42.894	57.587	153.569
779	11.334	26.585	72.285
780	50.32	66.536	281.367
781	14.621	26.074	88.182
782	26.618	33.235	157.989
783	10.657	27.051	78.184
784	129.28	160.855	637.114
785	7.697	33.786	67.553
786	39.94	48.764	151.609
787	17.761	21.08	69.244
788	59.005	111.757	259.306
789	5.334	20.564	87.818
790	24.211	67.608	157.522
791	13.83	22.206	57.22
792	79.51	107.742	390.736
793	10.088	25.014	74.409
794	30.587	40.172	203.782
795	10.135	25.763	78.636
796	42.571	59.007	257.224
797	9.354	25.081	67.904
798	25.709	42.988	133.185
799	16.201	32.076	69.404
800	396.671	463.801	1035.06
801	8.049	31.338	117.794
802	40.772	30.999	198.697
803	16.982	34.088	87.269
804	54.058	58.353	282.141
805	20.027	17.838	75.402
806	13.961	37.318	154.778
807	17.62	30.308	61.167
808	125.791	126.744	355.934
809	10.121	25.849	75.942
810	23.942	36.001	162.775
811	10.019	48.255	75.353
812	56.06	70.914	230.987
813	13.177	23.424	79.393
814	14.671	33.735	131.917
815	11.071	29.837	65.218
816	140.693	172.186	621.296
817	11.517	34.309	78.328
818	17.56	40.525	157.695
819	16.507	40.457	79.949
820	48.651	64.355	235.109
821	16.024	23.884	63.205
822	24.332	26.685	147.946
823	7.815	30.7	66.524
824	95.878	112.736	349.887
825	18.513	34.945	73.478
826	21.896	31.888	145.549
827	10.413	26.239	68.211
828	45.36	64.291	270.568
829	10.913	26.91	74.559
830	24.076	42.955	148.699
831	8.819	26.018	82.038
832	1191.41	1087.78	1783.77
833	34.125	40.635	136.722
834	45.318	66.784	206.853
835	10.263	19.005	95.45
836	64.044	70.206	240.984
837	10.727	27.372	101.193
838	25.698	40.658	133.168
839	13.133	31.161	70.226
840	95.061	135.354	408.462
841	7.82	39.017	72.797
842	27.149	30.938	140.008
843	9.262	28.304	60.261
844	39.823	64.682	239.648
845	13.372	23.959	116.273
846	29.412	31.82	156.652
847	10.093	24.925	70.918
848	144.628	202.203	599.74
849	25.624	25.359	65.551
850	14.658	35.121	154.195
851	9.168	26.354	81.163
852	51.393	73.834	227.965
853	21.683	28.93	78.839
854	23.388	33.391	122.664
855	9.26	32.593	60.975
856	74.753	149.974	361.86
857	19.324	24.474	77.965
858	16.761	42.049	150.893
859	8.815	24.258	69.207
860	53.497	80.696	250.088
861	28.531	24.436	73.029
862	17.858	46.48	152.615
863	15.227	42.815	72.897
864	377.648	406.782	909.989
865	9.391	21.657	105.812
866	24.023	35.425	191.137
867	16.05	25.402	72.216
868	45.791	59.662	247.925
869	12.869	30.03	61.727
870	23.498	42.808	150.441
871	34.566	30.496	78.032
872	73.026	110.657	340.38
873	17.957	29.701	78.79
874	23.399	41.95	151.281
875	11.645	24.68	66.542
876	61.978	79.275	296.961
877	14.035	49.025	106.127
878	19.478	34.158	176.055
879	5.891	21.653	70.729
880	151.721	198.985	594.643
881	9.263	35.586	75.66
882	36.864	29.707	143.494
883	5.447	24.584	90.276
884	46.355	85.449	250.702
885	9.474	54.384	84.23
886	20.736	30.628	139.642
887	11.544	27.633	60.299
888	86.04	100.029	391.275
889	15.234	30.056	75.265
890	11.748	33.952	145.382
891	11.714	25.777	82.216
892	47.879	61.324	294.871
893	19.138	29.251	62.718
894	32.115	51.597	140.187
895	12.164	49.99	78.538
896	2724.87	2795.15	2819.32
897	21.307	61.478	125.938
898	39.368	66.366	191.553
899	16.808	34.617	65.617
900	69.827	77.299	228.305
901	8.395	34.694	67.299
902	27.818	25.458	140.006
903	4.438	29.324	71.439
904	97.875	118.923	381.277
905	6.917	28.819	68.481
906	24.012	39.971	272.433
907	6.36	31.196	62.483
908	48.678	75.556	260.102
909	7.48	37.04	72.112
910	21.339	32.734	131.72
911	8.589	30.883	78.567
912	156.738	197.283	740.042
913	10.89	30.132	113.379
914	21.594	55.465	161.182
915	7.107	22.789	55.201
916	49.131	81.557	231.7
917	15.5	40.084	75.19
918	34.177	33.256	132.301
919	13.473	20.898	62.421
920	93.493	115.833	423.81
921	8.784	20.47	79.407
922	45.639	45.199	144.383
923	11.365	25.043	83.683
924	40.318	58	291.735
925	4.555	28.553	62.797
926	27.689	23.149	144.925
927	11.744	24.425	80.805
928	639.077	474.155	927.121
929	13.404	31.917	122.894
930	24.59	36.135	195.048
931	18.216	21.786	98.165
932	65.358	56.765	229.538
933	4.312	27.906	62.471
934	26.429	38.186	159.842
935	10.135	38.733	64.729
936	72.215	99.661	353.433
937	13.163	31.481	81.024
938	25.192	41.884	158.252
939	14.627	35.504	78.643
940	58.351	71.634	244.485
941	12.95	35.362	64.77
942	39.813	46.246	139.093
943	10.023	38.042	68.422
944	155.851	131.94	626.433
945	15.745	34.755	83.641
946	16.861	30.807	150.899
947	6.235	25.933	75.465
948	34.215	52.206	274.332
949	10.211	28.808	67.102
950	22.223	36.294	176.326
951	5.099	27.521	78.187
952	73.501	116.083	357.05
953	9.177	37.473	69.88
954	15.088	37.14	176.017
955	11.163	31.951	81.784
956	41.907	70.378	229.455
957	7.728	40.49	85.152
958	25.924	47.339	141.1
959	11.748	27.518	66.312
960	1184.5	1098.12	1518.2
961	7.034	24.486	119.986
962	43.206	25.583	186.511
963	10.139	23.414	81.732
964	52.08	84.337	251.52
965	18.87	24.564	97.568
966	17.05	37.219	135.507
967	10.595	27.431	57.711
968	105.46	87.112	419.971
969	14.67	25.43	125.666
970	27.069	32.329	159.386
971	17.521	19.258	72.88
972	46.258	77.956	257.986
973	27.187	22.395	66.436
974	22.87	38.873	162.347
975	24.28	24.066	91.606
976	157.751	203.052	655.322
977	10.11	37.217	101.004
978	21.737	65.309	168.741
979	8.489	40.472	75.705
980	42.841	56.513	275.605
981	21.594	21.736	116.69
982	13.095	26.291	154.129
983	17.198	29.275	69.829
984	89.188	114.006	450.443
985	6.627	28.329	62.883
986	23.791	87.785	145.09
987	5.847	39.074	69.241
988	57.739	77.991	277.138
989	8.925	31.002	67.321
990	20.961	36.116	150.499
991	3.712	28.363	71.762
992	490.672	461.614	973.542
