ith	SDa[PiBas]	Sda[1C]	SDa[NlogN]
1	18.778	46.84	116.683
2	25.371	73.92	211.642
3	17.609	23.979	78.658
4	44.864	79.457	223.584
5	13.682	28.168	89.006
6	16.35	37.384	184.015
7	12.556	38.521	88.348
8	92.813	119.119	352.884
9	12.592	30.343	60.539
10	30.69	32.392	160.377
11	45.301	30.75	70.207
12	70.806	78.739	254.978
13	19.22	26.026	74.313
14	17.883	48.345	143.425
15	7.233	20.615	67.713
16	171.729	193.382	623.959
17	6.09	26.412	78.401
18	34.857	37.032	153.647
19	14.137	28.368	80.541
20	58.678	48.427	232.595
21	16.11	31.152	75.753
22	27.797	32.831	154.793
23	24.352	34.788	87.147
24	99.755	131.367	358.65
25	11.545	22.577	67.488
26	32.067	33.187	140.094
27	10.705	30.067	69.489
28	44.485	50.87	244.109
29	7.721	36.397	70.945
30	19.303	33.106	150.031
31	8.671	25.14	91.253
32	414.507	477.39	1033.49
33	34.408	26.581	131.219
34	42.564	31.699	194.871
35	12.47	30.32	90.056
36	70.611	65.685	285.207
37	9.962	21.205	67.315
38	29.674	32.237	154.526
39	3.651	26.417	110.999
40	85.678	119.559	436.823
41	10.857	30.988	78.303
42	27.213	48.954	169.366
43	9.354	25.084	75.19
44	72.918	69.41	242.077
45	7.391	27.189	85.644
46	26.435	31.728	159.736
47	18.349	23.247	76.621
48	155.757	151.184	637.352
49	12.827	36.143	80.741
50	33.183	33.632	139.509
51	9.337	50.758	73.432
52	32.761	83.872	255.659
53	11.11	28.278	69.927
54	21.454	33.546	164.044
55	18.292	26.709	99.753
56	65.15	86.136	383.782
57	7.65	39.962	108.408
58	23.52	40.914	154.768
59	9.574	26.266	64.5
60	50.57	73.277	260.381
61	13.002	23.705	72.039
62	25.149	39.987	146.073
63	12.421	28.442	79.364
64	1145.93	1175.86	1641.09
65	20.505	57.383	122.432
66	58.681	55.533	196.454
67	11.647	32.723	77.12
68	63.985	76.201	245.317
69	9.244	27.283	67.446
70	36.206	50.903	207.879
