size	SDa[PiBas]	SDd[PiBas]	SDa[1C]	L-SD_d[1C]	SDa[NlogN] 	L-SD_d[NlogN]	SDa[2C]
14	50.25	60.59	0.37	1.04	0.24	0.87	0.32
17	51.39	63.55	0.82	1.26	0.64	1.29	0.85
20	53.75	65.56	2.03	2.79	0.77	2.02	1.64
23	56.70	67.06	2.11	2.89	0.86	3.18	1.92
26	57.47	67.90	2.34	3.42	1.28	3.90	2.11
