size	SDd[PiBas]	L-SD_d[1C]	L-SD_d[NlogN]	L-SD_d[12N]	L-SD_d[6N]	L-SD_d[3N]	L-SD_d[2N]	x	x2	x	x2
10	 4 	 7 	 7 	663	 7 	 7 	802	?	?		
100	 6 	 14 	 9 	1372	 15 	 17 	2380	?	?		
1000	 27 	 65 	 17 	2395	 32 	 119 	12702	?	?		
10000	 274 	 528 	 28 	3022	 41 	 147 	123174	?	123174		
100000	 3673 	 5467 	 66 	3752	 85 	 203 	?	?			
1000000	 42416 	 5935 	 414 	4740	 451 	 829 	?	42416			
2000000	 ? 	 6230 	 911 	5171	 910 	 1005 	?	84000			
5000000	 ? 	 7639 	 2814 	9326	 2455 	 2366 	?	200000			

