size	SDa[PiBas]	SDd[PiBas]	SDa[1C]	L-SD_d[1C]	SDa[NlogN] 	L-SD_d[NlogN]	SDa[2C]	x	x2
10	684	4176	742	1357	607	1216	881	
100	3256	5455	2541	1538	812	2163	1015	
1000	33650	36076	3505	3604	1248	3467	2555	
10000	173414	141676	18151	19073	1390	3872	15918	
100000	1629520	1171790	168583	170847	2249	5054	120440	
1000000	14809700	11368800	173479	181720	8187	11620	172238	
2000000	24086100	22820500	176499	181463	14091	19562	173203	24086100	22820500
5000000	?	?	187893	187385	53576	54063	180553	55000000	60215250	57051250
