size	SDd[PiBas]	L-SD_d[1C]	L-SD_d[NlogN]	L-SD_d[12N]	L-SD_d[6N]	L-SD_d[3N]	L-SD_d[2N]	x	x2	x	x2
10	 271 	 356 	 445 	663	 498 	 527 	802	?	?		
100	 271 	 410 	 634 	1372	 938 	 1117 	2380	?	?		
1000	 1374 	 1038 	 1133 	2395	 2258 	 8298 	12702	?	?		
10000	 13517 	 2411 	 1431 	3022	 2560 	 10116 	123174	?	123174		
100000	 134051  13151 	 1828 	3752	 2919 	 10958 	134051	?			
1000000	 1356730 13669 	 3071 	4740	 4520 	 23405 	1356730	?	?		
2000000	2652890	 13863 	 4139 	5171	 4843 	 14503 	?	2652890	?		
5000000	 ? 	 15347 	 8333 	9326	 9360 	 21003 	?	6000000	?	
