size	SDd[PiBas]	L-SD_d[1C]	L-SD_d[NlogN]	L-SD_d[12N]	L-SD_d[6N]	L-SD_d[3N]	L-SD_d[2N]	x	x2	x	x2
10	 0.1 	 0.02 	 0.1 	663	 0.1 	 0.1 	802	?	?		
100	 0.1 	 0.1 	 0.1 	1372	 0.2 	 0.2 	2380	?	?		
1000	 0.9 	 1.2 	 0.4 	2395	 0.4 	 1.3 	12702	?	?		
10000	 8.6 	 24 	 3.2 	3022	 2.4 	 3.2 	123174	?	123174		
100000	 82 	 693 	 25 	3752	 22 	 20 	?	?			
1000000	 891 	 702 	 223 	4740	 240 	 230 	?	?			
2000000	 1901 	 699 	 456 	5171	 465 	 483 	?				
5000000	 4747 	 700 	 1296 	9326	 1421 	 1802 	?				

