size	SDd[PiBas]-M	SDd[PiBas]-D	L-SD_d[1C]-M	L-SD_d[1C]-D	L-SD_d[NlogN]-M	L-SD_d[NlogN]-D	L-SD_d[PiBas]-M	L-SD_d[PiBas]-D
1	505.2146866	17949.41469	63.40972142	14274.40972	252.419833	189079.4198	42.27314761	9516.273148
10	618.063238	188749.8632	69.41500275	14299.415	381.4378432	236747.4378	46.2766685	9532.943335
100	743.3132417	1178636.313	70.42190028	22164.4219	485.4656835	440843.4657	46.94793352	14776.28127
200	794.4302754	2028852.13	73.42459533	38360.4246	563.4776453	801977.4776	48.94973022	25573.6164
500	898.7649466	6082593.765	79.43062881	49296.43063	739.5062912	1095985.506	52.95375254	32864.28709
