size	SDa[PiBas]	SDd[PiBas]	SDa[1C]	L-SD_d[1C]	SDa[NlogN] 	L-SD_d[NlogN]	x x	L-SD_d[6N]	L-SD_d[3N]
10	6	7	7	12	5	12	?	?				17	18
100	18	16	10	24	7	18	?	?				38	47
1000	163	156	62	96	12	34	?	?				72	280
10000	1687	2072	547	650	17	44	?	?				98	355
100000	17697	18921	5097	5220	57	103	?	?				161	586
1000000	168262	219587	5942	5790	330	487	?	?				610	1458
2000000	311485	520929	6831	6415	556	951	311485	520929				974	1491
5000000	?	?	10206	8266	1703	2356	778712	1302322				2568	3112
